Intensidades Erradas: 3, Intensidades Certas: 4, Total: 7, Erro médio: 9.998744958056461
Intensidades Erradas: 1, Intensidades Certas: 6, Total: 7, Erro médio: 8.042711823183684
Intensidades Erradas: 2, Intensidades Certas: 5, Total: 7, Erro médio: 33.19495776329003
Intensidades Erradas: 2, Intensidades Certas: 5, Total: 7, Erro médio: 16.198955366279225
Intensidades Erradas: 3, Intensidades Certas: 4, Total: 7, Erro médio: 25.111488903374077
Intensidades Erradas: 1, Intensidades Certas: 6, Total: 7, Erro médio: 19.483709447550527
Intensidades Erradas: 2, Intensidades Certas: 5, Total: 7, Erro médio: 16.562864571932156
Intensidades Erradas: 2, Intensidades Certas: 5, Total: 7, Erro médio: 14.215028464302288
Intensidades Erradas: 1, Intensidades Certas: 6, Total: 7, Erro médio: 15.176211734289039
Intensidades Erradas: 2, Intensidades Certas: 5, Total: 7, Erro médio: 20.852726012849875
Intensidades Erradas: 2, Intensidades Certas: 5, Total: 7, Erro médio: 16.942881416158468
Intensidades Erradas: 1, Intensidades Certas: 6, Total: 7, Erro médio: 16.535081457940684
Intensidades Erradas: 0, Intensidades Certas: 7, Total: 7, Erro médio: 15.455198755258726
Intensidades Erradas: 3, Intensidades Certas: 4, Total: 7, Erro médio: 20.957178825372893
Intensidades Erradas: 1, Intensidades Certas: 6, Total: 7, Erro médio: 28.850403510918365
Intensidades Erradas: 1, Intensidades Certas: 6, Total: 7, Erro médio: 21.28315728595896
Intensidades Erradas: 5, Intensidades Certas: 2, Total: 7, Erro médio: 14.775028020157162
Intensidades Erradas: 1, Intensidades Certas: 6, Total: 7, Erro médio: 24.263860317726056
Intensidades Erradas: 2, Intensidades Certas: 5, Total: 7, Erro médio: 16.6597517837949
Intensidades Erradas: 0, Intensidades Certas: 7, Total: 7, Erro médio: 14.634552798207553
Intensidades Erradas: 1, Intensidades Certas: 6, Total: 7, Erro médio: 23.782341182179284
Intensidades Erradas: 5, Intensidades Certas: 2, Total: 7, Erro médio: 12.01201356243574
Intensidades Erradas: 2, Intensidades Certas: 5, Total: 7, Erro médio: 16.856214991385603
Intensidades Erradas: 5, Intensidades Certas: 2, Total: 7, Erro médio: 8.993562720964576
Intensidades Erradas: 0, Intensidades Certas: 7, Total: 7, Erro médio: 15.508237009790426
Intensidades Erradas: 1, Intensidades Certas: 6, Total: 7, Erro médio: 16.284450942122373
